,title,beds,bath,adress,price,area
138,A Brand New 1975 Sq Ft Beautiful Apartment For Rent In Mohammadpur,4.0,4.0,"tajmahalroad,mohammadpur,dhaka",60000.0,1975
139,"In Rampura Near Mohanagar Project, A Flat Is Ready For Rent",3.0,2.0,"mohanagarhousing,westrampura,rampura,dhaka",21000.0,1050
140,"1500 Sq Ft Flat Is Available For Rent In Mohammadpur, Mohammadia Housing Society",3.0,3.0,"mohammadiahousingsociety,mohammadpur,dhaka",21000.0,1500
141,900 Sq. Ft An Adequate Apartment For Rent Is Available In Mohammadpur Housing LTD.,2.0,2.0,"mohammadihousingltd.,mohammadpur,dhaka",20000.0,900
142,Brand New Apartment Of 1975 Sq Ft Is Ready To Rent In Mohammadpur,4.0,3.0,"tajmahalroad,mohammadpur,dhaka",60000.0,1975
143,"Smartly Priced 1350 Sq Ft Apartment, That You Should Check In Paikpara",3.0,4.0,"paikpara,ahmednagar,mirpur,dhaka",22000.0,1350
144,"1300 Sq Ft Flat Is Up For Rent In Aftab Nagar, Sector-2",3.0,3.0,"aftabnagar,dhaka",21000.0,1300
145,Nice 1200 Sq Ft Home Is Available To Rent In Mohammadpur,3.0,3.0,"mohammadihousingltd.,mohammadpur,dhaka",22000.0,1200
146,Affordable And Tiny Flat Of 450 Sq Ft Up For Rent In Faydabad,2.0,1.0,"faydabad,dakshinkhan,dhaka",7300.0,450
147,"At Mohammadpur, flat for Rent close to Mohammadpur Shia Masjid",3.0,2.0,"mohammadihousingltd.,mohammadpur,dhaka",18000.0,1100
148,Find 600 Sq Ft Nice Apartment Available To Rent In Mirpur,1.0,1.0,"section,mirpur,dhaka",12000.0,600
149,For Renting 1800 Square feet flat is available in Banani near to Fusion Hunt,3.0,4.0,"banani,dhaka",75000.0,1800
150,Consider Renting This 1190 Sq Ft With 2 Bedrooms Home In Rampura Close To Makki Masjid,2.0,2.0,"westrampura,rampura,dhaka",40000.0,1190
151,1600 Sq Ft Flat Is Ready For Rent In Bashundhara R-A,3.0,3.0,"bashundharar-a,dhaka",27000.0,1600
152,"2 Bedroom, 2 Bathroom Apartment With A View Is Up For Rent Nearby Tara Jame Masjid",2.0,2.0,"hazaribag,dhaka",16000.0,950
153,For Rental Purpose This Nice Semi furnished Flat Is Now Available In Maghbazar,3.0,4.0,"maghbazar,dhaka",50000.0,1800
154,"A Desirable Flat Of 750 Square Feet Is For Rent In Mirpur, West Shewrapara",2.0,2.0,"westshewrapara,mirpur,dhaka",16000.0,750
155,Looking For A Tasteful Full Furnished Home To Rent In Gulshan 1 ? Check This One,4.0,4.0,"gulshan,gulshan,dhaka",150000.0,3200
156,2300 Sq Ft A Spacious Apartment Is Ready To Rent At Mirpur Dohs,4.0,5.0,"avenue,mirpurdohs,mirpur,dhaka",50000.0,2300
157,An Elegant Apartment For Rent In Baridhara Near High Commission Of Malaysia,3.0,4.0,"baridhara,dhaka",170000.0,2600
158,"Start Residing In This 1700 Sq Ft, Properly Developed Flat For Rent, In Kazir Dewri, Near Apollo Shopping Centre",3.0,4.0,"kazirdewri,chattogram",28000.0,1700
159,Apartment For Rent In Uttara - Own This Prominently Set Up Home,3.0,3.0,"uttara,dhaka",30000.0,1400
